id_jugador,nombre,posicion,id_equipo
312,F. Flecker,Defensa,10
313,F. Hübner,Defensa,10
314,Julian Ryerson,Defensa,10
315,K. Reichel,Defensa,10
316,K. Schlotterbeck,Defensa,10
317,M. Friedrich,Defensa,10
318,M. Parensen,Defensa,10
319,N. Subotić,Defensa,10
320,C. Gentner,Centrocampista,10
321,Felix Kroos,Centrocampista,10
322,Grischa Prömel,Centrocampista,10
323,J. Kade,Centrocampista,10
324,M. Schmiedebach,Centrocampista,10
325,Robert Andrich,Centrocampista,10
326,Yunus Malli,Centrocampista,10
327,A. Gogia,Delantero,10
328,A. Ujah,Delantero,10
329,J. Mees,Delantero,10
330,L. Dehl,Delantero,10
331,M. Ingvartsen,Delantero,10
332,Marius Bülter,Delantero,10
333,S. Abdullahi,Delantero,10
334,S. Andersson,Delantero,10
335,S. Becker,Delantero,10
336,S. Polter,Delantero,10
337,A. Nübel,Portero,11
338,M. Schubert,Portero,11
339,Michael Langer,Portero,11
340,B. Oczipka,Defensa,11
341,J. Miranda,Defensa,11
342,J. Todibo,Defensa,11
343,Jonjoe Kenny,Defensa,11
344,M. Mercan,Defensa,11
345,M. Nastasić,Defensa,11
346,Malick Thiaw,Defensa,11
347,Ozan Kabak,Defensa,11
348,S. Sane,Defensa,11
349,T. Becker,Defensa,11
350,A. Harit,Centrocampista,11
351,A. Schöpf,Centrocampista,11
352,B. Stambouli,Centrocampista,11
353,Can Bozdogan,Centrocampista,11
354,J. Hofmann,Centrocampista,11
355,N. Boujellab,Centrocampista,11
356,Omar Mascarell,Centrocampista,11
357,Suat Serdar,Centrocampista,11
358,W. Mckennie,Centrocampista,11
359,A. Kutucu,Delantero,11
360,Benito Raman,Delantero,11
361,D. Caligiuri,Delantero,11
362,G. Burgstaller,Delantero,11
363,M. Gregoritsch,Delantero,11
364,Rabbi Matondo,Delantero,11
365,F. Dahmen,Portero,12
366,Florian Müller,Portero,12
367,O. Hanin,Portero,12
368,Robin Zentner,Portero,12
369,A. Hack,Defensa,12
370,Aarón Martín,Defensa,12
371,D. Brosinski,Defensa,12
372,E. Fernandes,Defensa,12
373,J. Bruma,Defensa,12
374,J. Meier,Defensa,12
375,J. St. Juste,Defensa,12
376,M. Niakhaté,Defensa,12
377,P. Mwene,Defensa,12
378,R. Pierre-Gabriel,Defensa,12
379,Ridle Baku,Defensa,12
380,Stefan Bell,Defensa,12
381,Danny Latza,Centrocampista,12
382,J. Boëtius,Centrocampista,12
383,L. Barreiro,Centrocampista,12
384,Pierre Kunde,Centrocampista,12
385,Ádám Szalai,Delantero,12
386,C. Akono,Delantero,12
387,Dong-Won Ji,Delantero,12
388,J. Burkardt,Delantero,12
389,Jean Mateta,Delantero,12
390,Karim Onisiwo,Delantero,12
391,Levin Öztunali,Delantero,12
392,Robin Quaison,Delantero,12
393,T. Awoniyi,Delantero,12
394,Brady Scott,Portero,13
395,Julian Krahl,Portero,13
396,T. Kessler,Portero,13
397,Timo Horn,Portero,13
398,Benno Schmitz,Defensa,13
399,Ismail Jakobs,Defensa,13
400,J. Hector,Defensa,13
401,Jorge Meré,Defensa,13
402,K. Ehizibue,Defensa,13
403,K. Schindler,Defensa,13
404,N. Katterbach,Defensa,13
405,R. Czichos,Defensa,13
406,R. Voloder,Defensa,13
407,S. Bornauw,Defensa,13
408,T. Leistner,Defensa,13
409,B. Verstraete,Centrocampista,13
410,D. Drexler,Centrocampista,13
411,E. Rexhbecaj,Centrocampista,13
412,Ellyes Skhiri,Centrocampista,13
413,Florian Kainz,Centrocampista,13
414,M. Höger,Centrocampista,13
415,N. Hauptmann,Centrocampista,13
416,A. Modeste,Delantero,13
417,Christian Clemens,Delantero,13
418,J. Córdoba,Delantero,13
419,Jan Thielmann,Delantero,13
420,M. Risse,Delantero,13
421,Mark Uth,Delantero,13
422,S. Terodde,Delantero,13
423,Tim Lemperle,Delantero,13
424,A. Luthe,Portero,14
425,B. Leneis,Portero,14
426,F. Giefer,Portero,14
427,Tomáš Koubek,Portero,14
428,F. Uduokhai,Defensa,14
429,Felix Götze,Defensa,14
430,Georg Teigl,Defensa,14
431,Iago,Defensa,14
432,J. Gouweleeuw,Defensa,14
433,Jozo Stanic,Defensa,14
434,M. Suchý,Defensa,14
435,Philipp Max,Defensa,14
436,R. Framberger,Defensa,14
437,Reece Oxford,Defensa,14
438,Simon Asta,Defensa,14
439,Stephan Lichtsteiner,Defensa,14
440,Tin Jedvaj,Defensa,14
441,C. Gruezo,Centrocampista,14
442,D. Baier,Centrocampista,14
