epocas,batch,optimizador,callbacks,red,mae
50,16,SGD,0,0,0.9149379134178162
50,16,SGD,0,1,0.9110797047615051
50,16,SGD,0,2,0.9129172563552856
50,16,SGD,0,3,1.0206867456436157
50,16,SGD,0,4,0.9637777805328369
50,16,SGD,0,5,0.8972499370574951
50,16,SGD,0,6,0.9852896332740784
50,16,SGD,1,0,0.892105221748352
50,16,SGD,1,1,0.8613324165344238
50,16,SGD,1,2,0.8662881255149841
50,16,SGD,1,3,0.9128580689430237
50,16,SGD,1,4,0.8693208694458008
50,16,SGD,1,5,0.875092625617981
50,16,SGD,1,6,0.8653809428215027
50,16,adam,0,0,0.9490127563476562
50,16,adam,0,1,1.000917911529541
50,16,adam,0,2,1.002215027809143
50,16,adam,0,3,1.0315274000167847
50,16,adam,0,4,0.9141712188720703
50,16,adam,0,5,0.9999671578407288
50,16,adam,0,6,0.9896579384803772
50,16,adam,1,0,0.8794163465499878
50,16,adam,1,1,0.8664219379425049
50,16,adam,1,2,0.8689693808555603
50,16,adam,1,3,0.9312753081321716
50,16,adam,1,4,0.8906331658363342
50,16,adam,1,5,0.871608316898346
50,16,adam,1,6,0.9186724424362183
50,48,SGD,0,0,0.8837000131607056
50,48,SGD,0,1,0.8727730512619019
50,48,SGD,0,2,0.8841524124145508
50,48,SGD,0,3,0.9399731159210205
50,48,SGD,0,4,0.9234856367111206
50,48,SGD,0,5,0.8996089100837708
50,48,SGD,0,6,0.8683063387870789
50,48,SGD,1,0,0.8883299231529236
50,48,SGD,1,1,0.8606694936752319
50,48,SGD,1,2,0.8672231435775757
50,48,SGD,1,3,0.8611289262771606
50,48,SGD,1,4,0.8696102499961853
50,48,SGD,1,5,0.8713526725769043
50,48,SGD,1,6,0.8968502283096313
50,48,adam,0,0,0.9176847338676453
50,48,adam,0,1,0.995335578918457
50,48,adam,0,2,0.9732495546340942
50,48,adam,0,3,0.9819529056549072
50,48,adam,0,4,0.8874284029006958
50,48,adam,0,5,1.092851996421814
