epocas,batch,optimizador,callbacks,red,mae
50,16,adam,1,4,0.8593335151672363
50,16,adam,1,5,0.7616795301437378
50,16,adam,1,6,0.8790866136550903
50,48,SGD,0,0,0.774305522441864
50,48,SGD,0,1,0.790298581123352
50,48,SGD,0,2,0.7983110547065735
50,48,SGD,0,3,0.950837254524231
50,48,SGD,0,4,0.9836985468864441
50,48,SGD,0,5,0.8154400587081909
50,48,SGD,0,6,0.8949770927429199
50,48,SGD,1,0,0.7584401369094849
50,48,SGD,1,1,0.7861975431442261
50,48,SGD,1,2,0.7888034582138062
50,48,SGD,1,3,0.9648352265357971
50,48,SGD,1,4,0.8422567248344421
50,48,SGD,1,5,0.7769417762756348
50,48,SGD,1,6,0.9304506182670593
50,48,adam,0,0,0.810093104839325
50,48,adam,0,1,0.7839499711990356
50,48,adam,0,2,0.8077067136764526
50,48,adam,0,3,0.8500076532363892
50,48,adam,0,4,0.8473162651062012
50,48,adam,0,5,0.8474793434143066
50,48,adam,0,6,0.8660306334495544
50,48,adam,1,0,0.8018547892570496
50,48,adam,1,1,0.7578004002571106
50,48,adam,1,2,0.7816656231880188
50,48,adam,1,3,1.0212926864624023
50,48,adam,1,4,0.8668429255485535
50,48,adam,1,5,0.771328866481781
50,48,adam,1,6,0.8950213193893433
80,16,SGD,0,0,0.8327674865722656
80,16,SGD,0,1,1.0422159433364868
80,16,SGD,0,2,1.02213454246521
80,16,SGD,0,3,0.9649816155433655
80,16,SGD,0,4,0.8196631073951721
80,16,SGD,0,5,0.8584696650505066
80,16,SGD,0,6,0.8045526146888733
80,16,SGD,1,0,0.7688971161842346
80,16,SGD,1,1,0.7709978818893433
80,16,SGD,1,2,0.7818886041641235
80,16,SGD,1,3,0.9625771045684814
80,16,SGD,1,4,0.8463844060897827
80,16,SGD,1,5,0.7721680402755737
80,16,SGD,1,6,0.9417127966880798
80,16,adam,0,0,0.8432869911193848
80,16,adam,0,1,0.7774749994277954
80,16,adam,0,2,0.8099480867385864
80,16,adam,0,3,0.8683359026908875
80,16,adam,0,4,0.8058536052703857
80,16,adam,0,5,0.8607508540153503
