id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante
70,79,0,5,3,3,0,0,0,0,1,9,23,77,6,19
71,78,1,0,3,3,2,3,0,0,8,1,45,55,19,3
72,75,2,0,3,3,1,0,0,0,6,2,71,29,15,7
73,74,4,2,3,3,0,3,0,0,4,3,48,52,22,18
74,77,0,0,3,3,3,5,0,0,8,4,35,65,15,11
75,72,0,1,2,3,1,1,0,0,5,5,44,56,17,5
76,71,2,3,3,3,2,3,0,0,6,7,48,52,14,9
77,76,2,3,3,0,6,1,1,0,2,9,35,65,8,14
78,73,0,1,1,3,0,2,0,0,7,9,38,62,15,16
79,70,2,2,3,3,1,1,0,0,6,3,53,47,17,9
80,80,3,1,3,3,2,5,0,0,7,4,54,46,22,10
81,88,2,2,3,3,1,3,0,0,6,2,61,39,16,9
82,86,1,1,3,3,2,3,0,0,6,3,63,37,18,8
83,85,2,5,2,3,4,3,0,0,3,5,50,50,15,20
84,83,7,0,3,3,0,4,0,1,5,0,62,38,23,3
85,82,1,4,3,3,2,3,0,0,7,6,48,52,10,23
86,84,1,1,3,3,3,4,0,0,3,7,74,26,14,6
87,81,1,2,3,3,1,1,0,0,8,2,54,46,15,10
88,87,0,5,3,3,6,0,1,0,6,3,36,64,12,19
89,89,1,0,2,3,2,1,0,0,2,4,38,62,13,7
90,95,0,3,3,3,3,2,0,0,0,2,21,79,6,19
91,97,0,3,3,3,2,3,0,0,10,1,58,42,9,10
92,94,0,2,3,3,2,3,1,0,7,1,68,32,14,8
93,98,0,1,3,3,2,2,0,0,5,8,38,62,10,12
94,92,0,2,3,3,2,0,0,0,7,6,64,36,16,9
95,93,2,2,3,3,2,2,0,0,5,3,59,41,14,9
96,91,3,1,1,3,1,1,0,0,4,2,41,59,15,12
97,96,1,2,3,3,1,4,0,0,5,0,48,52,14,13
98,90,1,4,3,3,1,2,1,0,3,6,42,58,9,21
99,99,2,1,3,3,1,1,0,0,4,3,62,38,10,14
100,108,1,0,3,3,2,2,0,0,10,8,56,44,9,14
101,107,0,2,4,0,1,2,0,0,1,9,33,67,5,16
102,104,2,0,4,3,2,1,0,0,4,6,59,41,13,4
103,101,1,2,3,3,2,3,0,0,6,2,64,36,19,9
104,102,1,1,3,2,3,4,1,0,2,5,66,34,14,6
105,103,1,1,3,3,1,4,0,0,14,2,70,30,25,5
106,105,0,0,3,3,2,4,1,0,4,2,45,55,12,8
107,106,1,1,2,3,1,1,0,0,10,5,56,44,18,9
108,100,1,0,3,3,4,4,0,1,4,2,61,39,14,7
109,109,3,2,3,3,1,1,0,0,3,2,31,69,7,16
110,115,3,3,2,3,2,2,0,0,8,2,52,48,23,10
111,119,1,0,2,3,1,1,0,0,7,3,53,47,15,9
112,118,4,1,3,4,2,3,0,1,8,3,39,61,20,9
113,116,2,1,3,3,3,2,0,0,5,7,37,63,8,17
114,113,4,0,3,3,2,0,0,0,6,1,63,37,19,5
115,112,0,3,3,3,3,1,0,0,3,5,39,61,4,16
116,111,3,3,2,3,2,3,0,0,3,6,40,60,15,18
117,110,2,0,3,3,3,3,0,0,5,6,37,63,9,6
118,117,2,1,3,3,1,4,0,0,4,8,43,57,13,18
119,114,3,0,3,3,1,1,0,0,7,1,77,23,17,4
120,129,0,0,3,3,2,2,0,0,4,3,44,56,14,5
121,120,2,0,3,3,1,3,0,0,4,4,66,34,24,9
122,122,0,0,3,3,1,3,0,0,6,1,57,43,20,11
123,127,4,0,3,3,0,1,0,0,5,7,64,36,20,7
124,125,1,2,3,3,3,3,0,0,7,3,63,37,8,10
125,128,2,1,1,3,2,0,0,0,8,4,69,31,19,5
126,124,1,1,3,3,2,5,0,0,15,2,66,34,24,3
127,121,1,0,3,1,4,3,0,0,3,3,40,60,6,14
128,126,4,2,2,3,0,0,0,0,8,6,57,43,18,16
129,132,1,0,3,3,5,3,0,0,7,4,62,38,16,9
130,137,1,1,3,3,0,0,1,0,2,5,31,69,9,16
131,138,2,2,3,3,1,3,0,0,2,4,45,55,15,15
