id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante
117,124,3,1,3,3,3,4,0,0,6,4,69,31,22,12
118,125,2,2,2,3,1,2,0,0,6,4,51,49,9,18
119,123,1,2,3,3,4,3,0,0,3,1,47,53,6,10
120,121,1,0,3,3,1,0,0,0,5,9,38,62,7,18
121,118,3,0,3,3,1,0,0,0,11,1,76,24,20,4
122,117,1,0,3,3,1,2,0,0,4,2,68,32,17,7
123,120,3,0,3,3,1,2,0,0,3,12,41,59,12,15
124,119,3,0,3,3,2,4,0,1,7,4,70,30,22,7
125,122,1,1,3,3,4,3,0,1,9,1,72,28,27,11
126,132,0,2,3,2,2,1,0,0,6,3,46,54,11,10
127,134,2,1,3,3,1,3,0,0,5,5,48,52,9,14
128,131,0,0,2,3,0,2,0,0,6,2,60,40,22,6
129,130,0,4,3,3,1,0,0,0,0,14,27,73,3,32
130,128,2,0,3,3,2,1,0,0,4,1,36,64,19,6
131,127,2,1,3,3,1,4,0,0,4,10,52,48,16,9
132,126,1,1,3,3,2,1,0,0,6,7,49,51,15,13
133,133,4,1,3,3,3,3,0,0,6,2,42,58,18,11
134,129,2,1,3,3,6,2,0,0,10,7,47,53,17,12
135,136,2,0,3,3,2,3,0,0,6,7,53,47,17,7
136,137,2,1,3,3,1,2,0,0,2,2,26,74,8,11
137,139,2,2,2,3,1,0,0,0,3,2,44,56,15,8
138,143,2,0,3,3,1,2,0,0,4,8,56,44,16,11
139,142,1,1,3,3,0,1,0,0,6,3,51,49,23,14
140,135,1,0,3,3,2,2,1,1,5,5,60,40,10,8
141,138,1,1,3,3,0,2,0,0,5,2,46,54,14,17
142,140,2,2,3,2,3,3,0,0,3,2,50,50,17,12
143,141,1,2,3,3,4,4,0,0,7,1,54,46,18,8
144,146,2,1,3,3,0,1,0,0,4,2,54,46,12,3
145,150,0,1,3,3,2,3,0,0,12,3,62,38,15,7
146,151,3,2,3,3,2,0,0,0,4,4,44,56,11,15
147,148,0,1,2,3,2,3,0,0,4,6,56,44,17,13
148,152,1,3,3,3,3,5,0,0,2,5,62,38,17,16
149,145,3,1,3,3,0,1,0,0,4,5,57,43,15,13
150,147,0,3,2,3,2,1,0,0,3,4,39,61,10,9
151,149,1,1,3,3,1,0,0,0,9,2,67,33,28,12
152,144,2,3,3,3,2,3,0,0,3,4,43,57,10,16
153,157,1,3,3,3,3,2,0,0,2,6,44,56,13,21
154,154,0,1,1,3,1,2,0,0,9,3,64,36,20,7
155,155,3,1,3,3,2,1,0,0,5,5,47,53,9,19
156,156,0,1,3,3,3,1,0,0,6,8,46,54,8,23
157,159,0,1,2,3,3,2,0,0,6,7,47,53,11,8
158,161,2,3,3,3,2,2,0,0,13,8,61,39,26,13
159,153,1,2,3,3,3,1,0,0,5,3,48,52,11,11
160,158,1,3,2,2,2,1,0,0,4,4,44,56,14,16
161,160,2,1,3,3,1,0,0,0,4,6,39,61,16,11
162,167,2,2,3,3,2,1,0,0,3,6,46,54,11,14
163,170,0,3,3,2,5,3,0,0,5,6,46,54,11,22
164,169,2,2,3,3,4,2,0,0,8,3,47,53,18,8
165,166,2,4,3,3,0,2,0,0,6,1,42,58,20,16
166,168,2,1,3,2,3,1,0,0,5,5,53,47,19,8
167,164,5,1,3,3,1,1,0,0,5,3,61,39,16,12
168,163,2,0,3,3,2,4,0,0,4,0,62,38,12,3
169,162,4,1,3,3,1,1,0,0,8,1,71,29,19,7
170,165,0,4,3,3,1,0,0,0,8,2,53,47,10,12
171,174,0,3,2,3,2,2,0,0,0,7,44,56,4,19
172,178,0,2,2,3,1,2,1,0,1,5,38,62,10,16
173,176,1,1,3,3,3,4,0,0,5,5,64,36,13,10
174,175,0,1,3,3,3,1,0,0,3,7,51,49,11,8
175,177,1,1,3,3,4,1,0,0,3,7,40,60,11,10
176,172,3,1,3,3,3,2,0,0,7,4,49,51,10,14
177,173,1,1,1,3,2,2,0,0,6,4,39,61,12,13
178,171,3,0,3,3,0,1,0,0,7,3,54,46,16,4
179,179,2,2,3,3,5,0,1,0,7,8,70,30,17,14
180,186,1,5,3,3,3,1,0,0,4,4,28,72,15,18
181,187,0,0,3,2,4,2,0,0,7,4,53,47,15,6
182,180,3,1,3,3,1,2,0,0,7,2,71,29,16,7
183,181,0,3,3,1,0,2,0,0,5,5,69,31,12,11
184,182,3,3,3,3,0,3,0,0,6,8,59,41,16,14
185,184,3,3,3,3,3,2,0,0,9,2,49,51,9,16
186,185,2,0,3,3,2,2,0,1,4,4,50,50,18,9
187,183,3,0,3,3,3,4,0,1,5,4,43,57,15,15
188,188,4,0,3,3,0,1,0,0,3,2,40,60,13,13
189,189,2,3,2,3,1,2,0,0,1,9,28,72,7,16
190,192,1,1,3,3,3,3,0,0,4,3,39,61,11,8
191,193,3,0,3,3,0,1,0,0,9,6,60,40,26,6
192,195,0,0,3,3,0,4,1,1,4,9,44,56,11,12
193,196,1,3,3,3,1,1,0,0,4,4,47,53,7,8
194,197,3,0,3,3,1,1,0,0,4,7,50,50,16,12
195,190,2,0,3,3,1,3,0,0,5,4,84,16,13,3
196,191,1,1,3,3,3,1,0,0,8,7,41,59,12,13
197,194,0,0,3,2,1,1,0,0,3,11,27,73,7,17
198,206,1,1,3,3,1,3,0,0,4,2,68,32,15,8
199,198,1,0,3,2,2,0,0,1,11,3,63,37,12,8
200,199,0,3,3,3,2,1,0,0,11,1,56,44,13,5
201,201,2,1,3,3,3,4,0,1,7,3,75,25,19,6
202,202,5,1,3,2,0,3,0,1,8,1,40,60,18,14
203,204,3,0,3,3,4,2,0,0,1,3,39,61,19,8
204,200,3,2,3,1,1,2,0,0,3,8,33,67,9,13
205,203,0,3,3,3,1,1,0,0,3,5,50,50,9,15
206,205,1,1,3,3,0,1,0,0,6,4,52,48,15,7
207,207,2,1,3,3,1,2,0,0,1,4,28,72,8,17
208,212,0,1,2,3,2,3,0,0,5,8,45,55,7,12
209,213,0,4,3,3,4,2,0,0,1,1,55,45,7,14
210,211,2,1,3,3,0,2,0,0,4,1,60,40,11,11
211,210,3,2,3,3,0,3,0,1,4,3,50,50,19,19
212,209,1,5,3,3,2,2,0,0,1,9,37,63,11,17
213,208,2,0,3,3,0,0,0,0,7,2,73,27,19,8
214,214,5,1,3,3,2,2,0,0,7,0,50,50,14,3
215,215,1,1,2,3,0,2,0,0,6,4,59,41,13,11
216,224,4,2,3,3,2,1,0,0,4,5,57,43,20,15
217,216,6,0,3,3,0,1,0,0,7,2,61,39,21,4
218,217,3,1,3,3,3,3,0,0,7,1,75,25,17,7
219,219,2,1,3,2,1,3,0,0,3,6,35,65,9,16
220,223,0,0,3,2,1,1,0,0,6,4,67,33,15,5
221,222,0,1,3,3,2,0,0,0,2,6,44,56,13,9
222,221,2,1,3,3,3,2,0,0,8,3,64,36,16,10
223,220,2,3,3,2,3,1,0,0,5,6,38,62,10,16
224,218,0,3,3,3,1,2,0,0,1,5,43,57,7,15
225,228,1,1,3,3,0,3,0,0,9,6,54,46,11,10
226,225,3,1,3,3,1,4,0,0,2,3,63,37,22,13
227,232,1,1,3,3,4,2,0,0,4,9,40,60,12,21
228,233,5,2,3,3,1,1,0,0,7,4,59,41,18,15
229,231,0,1,3,3,1,1,0,0,0,6,49,51,15,16
230,230,2,3,3,3,3,3,2,0,4,9,48,52,7,25
231,227,6,0,3,3,1,0,0,0,13,2,69,31,21,7
232,226,1,3,3,3,3,2,0,0,10,3,71,29,15,11
233,229,1,0,3,3,0,2,0,0,8,3,63,37,18,9
234,239,4,1,3,3,2,2,0,0,4,7,35,65,13,18
235,234,2,0,3,2,0,3,0,0,5,4,53,47,11,6
236,235,3,1,3,3,2,3,0,0,1,2,30,70,8,13
237,237,1,1,3,3,3,1,0,0,1,7,29,71,12,27
238,240,3,0,3,2,1,3,0,0,4,4,49,51,11,15
239,241,5,0,3,3,1,1,0,0,6,3,47,53,22,4
240,242,3,1,3,3,0,1,0,0,7,8,55,45,8,14
241,236,3,0,3,3,2,1,0,0,5,5,50,50,11,9
242,238,0,1,3,3,1,1,0,0,8,2,61,39,15,6
243,248,0,1,0,0,0,0,0,0,8,2,61,39,15,6
244,251,3,1,3,2,1,2,0,0,9,2,62,38,12,11
245,250,1,1,3,3,1,3,0,0,12,5,56,44,12,18
246,249,1,2,2,2,5,1,1,0,3,6,36,64,6,16
