id_dato_jugador_partido,id_jugador,id_partido,titular,amarilla,roja,lesion,cambio,asistencias,goles,sustituido_por
9532,480,259,1,0,0,0,-1,0,0,-1
9533,481,259,1,0,0,0,-1,0,0,-1
9534,453,259,0,0,0,0,-1,0,0,-1
9535,463,259,0,0,0,0,46,0,0,-1
9536,467,259,0,0,0,0,83,0,0,-1
9537,471,259,0,0,0,0,-1,0,0,-1
9538,465,259,0,0,0,0,-1,0,0,-1
9539,482,259,0,0,0,0,-1,0,0,-1
9540,476,259,0,0,0,0,-1,0,0,-1
9541,477,259,0,0,0,0,61,0,0,-1
9542,475,259,0,0,0,0,-1,0,0,-1
9543,184,258,1,0,0,0,-1,0,0,-1
9544,195,258,1,0,0,0,-1,0,0,-1
9545,187,258,1,0,0,0,-1,0,0,-1
9546,194,258,1,0,0,0,-1,0,0,-1
9547,193,258,1,0,0,0,81,0,0,192
9548,202,258,1,0,0,0,-1,0,0,-1
9549,203,258,1,0,0,0,-1,0,0,-1
9550,209,258,1,0,0,0,66,0,1,197
9551,208,258,1,0,0,0,-1,2,0,-1
9552,206,258,1,0,0,0,70,1,2,205
9553,207,258,1,0,0,0,-1,0,1,-1
9554,185,258,0,0,0,0,-1,0,0,-1
9555,192,258,0,0,0,0,81,0,0,-1
9556,189,258,0,0,0,0,-1,0,0,-1
9557,186,258,0,0,0,0,-1,0,0,-1
9558,199,258,0,0,0,0,-1,0,0,-1
9559,197,258,0,0,0,0,66,0,0,-1
9560,200,258,0,0,0,0,-1,0,0,-1
9561,211,258,0,0,0,0,-1,0,0,-1
9562,205,258,0,0,0,0,70,0,0,-1
9563,485,258,1,0,0,0,-1,0,0,-1
9564,488,258,1,0,0,0,-1,0,0,-1
9565,492,258,1,0,0,0,-1,0,0,-1
9566,489,258,1,0,0,0,-1,0,0,-1
9567,494,258,1,0,0,0,-1,0,0,-1
9568,503,258,1,0,0,0,81,0,0,500
9569,499,258,1,0,0,0,-1,0,0,-1
9570,502,258,1,0,0,0,-1,0,0,-1
9571,506,258,1,0,0,0,-1,0,0,-1
9572,509,258,1,0,0,0,88,0,0,510
9573,511,258,1,0,0,0,73,0,0,505
9574,484,258,0,0,0,0,-1,0,0,-1
9575,491,258,0,0,0,0,-1,0,0,-1
9576,495,258,0,0,0,0,-1,0,0,-1
9577,493,258,0,0,0,0,-1,0,0,-1
9578,487,258,0,0,0,0,-1,0,0,-1
9579,500,258,0,0,0,0,81,0,0,-1
9580,501,258,0,0,0,0,-1,0,0,-1
9581,510,258,0,0,0,0,88,0,0,-1
9582,505,258,0,0,0,0,73,0,0,-1
9583,97,250,1,0,0,0,-1,0,0,-1
9584,101,250,1,0,0,0,-1,0,0,-1
9585,102,250,1,0,0,0,-1,0,0,-1
9586,104,250,1,0,0,0,-1,0,0,-1
9587,103,250,1,1,0,0,-1,0,0,-1
9588,115,250,1,0,0,0,-1,0,0,-1
9589,116,250,1,0,0,0,-1,0,0,-1
9590,114,250,1,0,0,0,-1,0,0,-1
9591,121,250,1,0,0,1,46,0,0,108
9592,120,250,1,0,0,0,78,0,0,124
9593,122,250,1,0,0,0,65,0,0,119
9594,99,250,0,0,0,0,-1,0,0,-1
9595,108,250,0,0,0,0,46,0,0,-1
9596,106,250,0,0,0,0,-1,0,0,-1
9597,107,250,0,0,0,0,-1,0,0,-1
9598,105,250,0,0,0,0,-1,0,0,-1
9599,113,250,0,0,0,0,-1,0,0,-1
9600,112,250,0,0,0,0,-1,0,0,-1
9601,124,250,0,0,0,0,78,0,0,-1
9602,119,250,0,0,0,0,65,0,0,-1
9603,32,250,1,0,0,0,-1,0,0,-1
9604,42,250,1,1,0,0,-1,0,0,-1
9605,45,250,1,0,0,0,-1,0,0,-1
9606,43,250,1,0,0,0,-1,0,0,-1
9607,37,250,1,0,0,0,-1,0,0,-1
9608,49,250,1,1,0,0,-1,0,0,-1
9609,54,250,1,0,0,0,-1,0,0,-1
9610,47,250,1,0,0,0,-1,0,0,-1
9611,62,250,1,0,0,0,-1,0,0,-1
9612,59,250,1,0,0,0,-1,0,0,-1
9613,61,250,1,0,0,0,78,0,0,57
9614,33,250,0,0,0,0,-1,0,0,-1
9615,38,250,0,0,0,0,-1,0,0,-1
9616,41,250,0,0,0,0,-1,0,0,-1
9617,40,250,0,0,0,0,-1,0,0,-1
9618,39,250,0,0,0,0,-1,0,0,-1
9619,52,250,0,0,0,0,-1,0,0,-1
9620,48,250,0,0,0,0,-1,0,0,-1
9621,58,250,0,0,0,0,-1,0,0,-1
9622,57,250,0,0,0,0,78,0,0,-1
9623,393,251,1,0,0,0,-1,0,0,-1
9624,395,251,1,0,0,0,-1,0,0,-1
9625,403,251,1,0,0,0,-1,0,0,-1
9626,398,251,1,0,0,0,-1,0,0,-1
9627,407,251,1,0,0,0,-1,0,0,-1
9628,412,251,1,1,0,0,-1,0,0,-1
9629,408,251,1,0,0,0,79,0,0,410
9630,411,251,1,0,0,0,-1,0,0,-1
9631,413,251,1,0,0,0,-1,0,0,-1
9632,414,251,1,0,0,0,-1,0,0,-1
9633,418,251,1,0,0,0,-1,0,0,-1
9634,391,251,0,0,0,0,-1,0,0,-1
9635,400,251,0,0,0,0,-1,0,0,-1
9636,406,251,0,0,0,0,-1,0,0,-1
9637,405,251,0,0,0,0,-1,0,0,-1
9638,404,251,0,0,0,0,-1,0,0,-1
9639,410,251,0,0,0,0,79,0,0,-1
9640,416,251,0,0,0,0,-1,0,0,-1
9641,419,251,0,0,0,0,-1,0,0,-1
9642,513,251,1,0,0,0,-1,0,0,-1
9643,524,251,1,0,0,0,-1,0,0,-1
9644,519,251,1,0,0,0,-1,0,0,-1
9645,523,251,1,0,0,0,46,0,0,517
9646,521,251,1,0,0,0,-1,0,0,-1
9647,537,251,1,0,0,0,74,0,0,538
9648,530,251,1,0,0,0,-1,0,0,-1
9649,534,251,1,0,0,0,-1,0,0,-1
9650,527,251,1,0,0,0,-1,0,0,-1
9651,528,251,1,0,0,0,68,0,0,539
9652,540,251,1,0,0,0,-1,0,0,-1
9653,514,251,0,0,0,0,-1,0,0,-1
9654,520,251,0,0,0,0,-1,0,0,-1
9655,526,251,0,0,0,0,-1,0,0,-1
9656,525,251,0,0,0,0,-1,0,0,-1
9657,517,251,0,1,0,0,46,0,0,-1
9658,531,251,0,0,0,0,-1,0,0,-1
9659,533,251,0,0,0,0,-1,0,0,-1
9660,539,251,0,0,0,0,68,0,0,-1
9661,538,251,0,0,0,0,74,0,0,-1
9662,127,254,1,0,0,0,-1,0,0,-1
9663,129,254,1,0,0,0,-1,0,0,-1
9664,132,254,1,0,0,0,70,0,0,130
9665,133,254,1,1,0,0,46,0,0,134
9666,137,254,1,0,0,0,-1,0,0,-1
9667,135,254,1,0,0,0,-1,0,0,-1
9668,149,254,1,1,0,0,-1,0,1,-1
9669,148,254,1,0,0,0,-1,0,0,-1
9670,152,254,1,0,0,0,51,0,0,151
9671,153,254,1,0,0,0,-1,0,0,-1
9672,154,254,1,0,0,0,-1,0,0,-1
9673,125,254,0,0,0,0,-1,0,0,-1
9674,134,254,0,0,0,0,46,0,0,-1
9675,128,254,0,0,0,0,-1,0,0,-1
9676,130,254,0,0,0,0,70,0,0,-1
9677,138,254,0,0,0,0,-1,0,0,-1
9678,142,254,0,0,0,0,-1,0,0,-1
9679,146,254,0,0,0,0,-1,0,0,-1
9680,145,254,0,0,0,0,-1,0,0,-1
9681,151,254,0,0,0,0,51,0,0,-1
9682,212,254,1,0,0,0,-1,0,0,-1
9683,222,254,1,0,0,0,-1,0,0,-1
9684,218,254,1,0,0,0,-1,0,1,-1
9685,221,254,1,1,0,0,-1,0,0,-1
9686,217,254,1,0,0,0,-1,0,0,-1
9687,225,254,1,0,0,0,-1,0,0,-1
9688,227,254,1,0,0,0,67,0,0,230
9689,229,254,1,0,0,1,42,0,0,228
9690,238,254,1,0,0,0,-1,1,0,-1
9691,235,254,1,0,0,0,-1,0,1,-1
9692,231,254,1,0,0,0,84,0,1,236
9693,214,254,0,0,0,0,-1,0,0,-1
9694,220,254,0,0,0,0,-1,0,0,-1
9695,223,254,0,0,0,0,-1,0,0,-1
9696,230,254,0,0,0,0,67,0,0,-1
9697,228,254,0,0,0,0,42,0,0,-1
9698,224,254,0,0,0,0,-1,0,0,-1
9699,232,254,0,0,0,0,-1,0,0,-1
9700,234,254,0,0,0,0,-1,0,0,-1
9701,236,254,0,0,0,0,84,0,0,-1
9702,575,257,1,0,0,0,-1,0,0,-1
9703,591,257,1,0,0,0,56,0,0,592
9704,589,257,1,0,0,0,-1,0,1,-1
9705,581,257,1,0,0,0,-1,0,0,-1
9706,579,257,1,0,0,0,-1,0,0,-1
9707,593,257,1,0,0,0,-1,0,0,-1
9708,597,257,1,0,0,0,-1,0,0,-1
9709,595,257,1,0,0,0,80,0,0,600
9710,596,257,1,0,0,0,-1,0,0,-1
9711,606,257,1,0,0,0,-1,0,0,-1
9712,601,257,1,0,0,0,56,0,0,605
9713,577,257,0,0,0,0,-1,0,0,-1
9714,590,257,0,0,0,0,-1,0,0,-1
9715,594,257,0,0,0,0,-1,0,0,-1
9716,592,257,0,0,0,0,56,0,0,-1
9717,607,257,0,0,0,0,-1,0,0,-1
9718,604,257,0,0,0,0,-1,0,0,-1
9719,605,257,0,0,0,0,56,0,0,-1
9720,603,257,0,0,0,0,-1,0,0,-1
9721,600,257,0,0,0,0,80,0,0,-1
9722,63,257,1,0,0,0,-1,0,0,-1
9723,77,257,1,0,0,0,-1,0,0,-1
9724,75,257,1,0,0,0,-1,0,0,-1
9725,68,257,1,0,0,0,-1,0,0,-1
9726,69,257,1,0,0,0,-1,0,0,-1
9727,84,257,1,0,0,0,-1,0,0,-1
9728,82,257,1,0,0,0,80,0,1,89
9729,90,257,1,0,0,0,76,0,0,87
9730,96,257,1,0,0,0,-1,0,0,-1
9731,95,257,1,0,0,0,-1,0,0,-1
9732,94,257,1,0,0,0,-1,0,0,-1
9733,67,257,0,0,0,0,-1,0,0,-1
9734,66,257,0,0,0,0,-1,0,0,-1
9735,78,257,0,0,0,0,-1,0,0,-1
9736,76,257,0,0,0,0,-1,0,0,-1
9737,80,257,0,0,0,0,-1,0,0,-1
9738,91,257,0,0,0,0,-1,0,0,-1
9739,89,257,0,0,0,0,80,0,0,-1
9740,87,257,0,0,0,0,76,0,0,-1
9741,93,257,0,0,0,0,-1,0,0,-1
9742,274,252,1,0,0,0,-1,0,0,-1
9743,279,252,1,0,0,0,-1,0,0,-1
9744,280,252,1,0,0,0,-1,0,0,-1
9745,278,252,1,0,0,0,-1,0,0,-1
9746,276,252,1,0,0,0,-1,0,0,-1
9747,288,252,1,0,0,0,-1,0,0,-1
9748,289,252,1,0,0,0,87,0,0,287
9749,286,252,1,0,0,0,-1,0,0,-1
9750,292,252,1,0,0,0,-1,1,0,-1
9751,301,252,1,0,0,0,91,0,1,299
9752,298,252,1,0,0,0,-1,0,0,-1
9753,273,252,0,0,0,0,-1,0,0,-1
9754,277,252,0,0,0,0,-1,0,0,-1
9755,281,252,0,0,0,0,-1,0,0,-1
9756,283,252,0,0,0,0,-1,0,0,-1
9757,287,252,0,0,0,0,87,0,0,-1
9758,297,252,0,0,0,0,-1,0,0,-1
9759,290,252,0,0,0,0,-1,0,0,-1
9760,299,252,0,0,0,0,91,0,0,-1
9761,300,252,0,0,0,0,-1,0,0,-1
9762,422,252,1,0,0,0,-1,0,0,-1
9763,425,252,1,0,0,0,-1,0,0,-1
9764,427,252,1,0,0,0,-1,0,0,-1
9765,431,252,1,0,0,0,-1,0,0,-1
9766,430,252,1,0,0,0,63,0,0,449
9767,437,252,1,0,0,0,-1,0,0,-1
9768,441,252,1,1,0,0,-1,0,0,-1
9769,448,252,1,0,0,0,88,0,0,435
9770,447,252,1,0,0,0,-1,0,0,-1
9771,445,252,1,0,0,0,-1,0,0,-1
9772,443,252,1,0,0,0,77,0,0,444
9773,421,252,0,0,0,0,-1,0,0,-1
9774,428,252,0,0,0,0,-1,0,0,-1
9775,433,252,0,0,0,0,-1,0,0,-1
9776,426,252,0,0,0,0,-1,0,0,-1
9777,434,252,0,0,0,0,-1,0,0,-1
9778,438,252,0,0,0,0,-1,0,0,-1
9779,435,252,0,0,0,0,88,0,0,-1
9780,444,252,0,0,0,0,77,0,0,-1
9781,449,252,0,1,0,0,63,0,0,-1
9782,0,285,1,0,0,0,-1,0,0,-1
9783,4,285,1,0,0,0,-1,0,0,-1
9784,14,285,1,0,0,0,-1,0,0,-1
9785,7,285,1,0,0,0,-1,0,0,-1
9786,9,285,1,0,0,0,-1,0,0,-1
9787,23,285,1,0,0,0,-1,0,0,-1
9788,16,285,1,0,0,0,81,0,0,21
9789,22,285,1,0,0,0,-1,0,0,-1
9790,30,285,1,0,0,0,-1,0,0,-1
9791,26,285,1,0,0,0,-1,0,2,-1
9792,29,285,1,0,0,0,-1,0,1,-1
9793,3,285,0,0,0,0,-1,0,0,-1
9794,8,285,0,0,0,0,-1,0,0,-1
9795,6,285,0,0,0,0,-1,0,0,-1
9796,12,285,0,0,0,0,-1,0,0,-1
9797,20,285,0,0,0,0,-1,0,0,-1
9798,21,285,0,0,0,0,81,0,0,-1
9799,28,285,0,0,0,0,-1,0,0,-1
9800,31,285,0,0,0,0,-1,0,0,-1
9801,25,285,0,0,0,0,-1,0,0,-1
9802,361,285,1,0,0,0,-1,0,0,-1
9803,363,285,1,0,0,0,-1,0,1,-1
9804,373,285,1,0,0,0,-1,0,0,-1
9805,365,285,1,0,0,0,55,0,0,385
9806,366,285,1,0,0,0,-1,0,0,-1
9807,371,285,1,0,0,0,-1,0,0,-1
9808,376,285,1,0,0,0,-1,0,1,-1
